OTU_ID	inoculum1.control.before	inoculum1.control.after	inoculum1.treatment.before	inoculum1.treatment.after	inoculum2.control.before	inoculum2.control.after	inoculum2.treatment.before	inoculum2.treatment.after
otu675	0	0	0	37	0	0	0	0
otu676	0	0	0	35	0	0	0	0
otu677	2	0	1	0	0	0	0	0
otu678	0	0	0	2	0	0	0	0
otu679	0	0	0	0	0	30	0	2
otu680	3	0	0	4	0	0	0	0
otu681	1	0	0	3	0	0	0	0
otu682	0	0	0	4	0	0	0	0
otu683	0	0	0	0	0	0	1	7
otu684	0	0	0	0	4	3	1	3
otu685	0	0	0	0	3	1	1	1
otu686	0	1	0	1	0	0	0	0
otu687	0	0	0	1	0	1	3	3
otu688	0	0	0	0	0	0	2	0
otu689	3	0	1	0	0	0	0	0
otu690	0	0	0	0	2	1	1	2
otu691	0	0	0	7	0	0	0	0
otu692	0	0	0	0	1	0	0	1
otu693	0	0	0	0	1	1	1	0
otu694	0	0	0	0	0	0	2	6
otu695	0	0	0	1	0	0	0	1
otu696	3	1	0	0	0	1	1	2
otu697	0	0	0	0	1	4	2	8
otu698	1	0	2	0	1	0	0	2
otu699	0	0	0	0	3	11	1	9
otu700	0	0	0	0	0	2	0	11
otu701	3	0	0	1	0	0	0	0
otu702	0	0	0	0	2	1	1	2
otu703	1	0	0	2	0	0	0	0
otu704	0	0	0	2	0	2	0	0
otu705	0	0	0	3	0	0	0	0
otu706	0	0	0	0	0	1	1	0
otu707	0	0	0	1	0	1	0	2
otu708	0	0	0	0	0	33	0	0
otu709	0	0	0	0	1	0	4	3
otu710	0	1	0	7	0	0	0	0
otu711	0	0	0	0	0	4	0	0
otu712	0	0	0	0	0	11	0	5
otu713	0	0	0	2	0	0	0	0
otu714	0	0	0	0	2	0	2	2
otu715	0	0	0	0	0	1	4	3
otu716	0	0	0	0	0	6	0	0
otu717	0	0	0	0	1	0	1	1
otu718	0	0	0	0	0	12	0	0
otu719	1	1	4	1	0	0	1	0
otu720	0	0	0	0	2	0	1	0
otu721	0	0	0	0	1	2	6	14
otu722	0	0	0	0	1	0	2	2
otu723	0	3	0	0	0	0	0	0
otu724	0	0	0	0	0	0	1	1
otu725	0	0	0	0	1	13	4	2
otu726	0	0	0	0	0	0	0	5
otu727	0	0	0	31	0	0	0	0
otu728	0	0	0	0	0	0	4	3
otu729	0	2	0	0	0	0	0	0
otu730	1	0	0	17	0	0	0	0
otu731	0	0	0	4	0	0	0	0
otu732	0	0	0	0	3	0	3	0
otu733	0	1	0	1	0	0	1	0
otu734	0	0	0	0	3	0	3	2
otu735	0	0	0	0	0	1	3	2
otu736	0	0	0	0	0	1	0	1
otu737	0	0	0	0	0	21	0	0
otu738	2	0	0	1	0	0	0	0
otu739	1	0	0	2	0	0	0	0
otu740	0	0	0	0	6	6	3	2
otu741	0	2	0	12	0	0	0	0
otu742	0	0	0	10	0	0	0	0
otu743	0	0	0	0	2	1	4	2
otu744	0	0	0	0	1	0	2	0
otu745	1	0	0	1	0	0	0	0
otu746	0	0	0	0	1	0	0	2
otu747	0	0	0	0	0	2	1	4
otu748	0	0	0	0	5	10	0	6
otu749	0	0	0	2	0	0	0	0
otu750	0	0	0	0	1	0	2	1
otu751	0	0	0	0	8	4	0	8
otu752	0	0	0	2	0	0	0	0
otu753	0	0	0	0	1	1	1	1
otu754	0	0	0	0	1	0	2	2
otu755	0	0	0	0	0	9	0	0
otu756	0	0	0	0	0	30	0	0
otu757	0	0	0	0	0	1	1	0
otu758	0	0	0	3	0	9	0	0
otu759	3	0	0	0	0	0	0	0
otu760	0	0	0	0	0	28	0	1
otu761	2	0	0	0	0	0	0	0
otu762	0	0	0	0	2	0	3	0
otu763	0	0	0	0	0	3	0	0
otu764	0	0	0	0	1	0	0	2
otu765	0	0	0	0	0	0	2	0
otu766	0	0	0	0	0	1	0	2
otu767	1	0	0	0	0	0	1	1
otu768	0	0	0	0	0	1	0	1
otu769	0	0	0	0	0	0	1	1
otu770	0	0	0	0	2	0	1	0
otu771	0	0	0	0	0	5	0	23
otu772	0	2	0	4	0	0	0	2
otu773	0	0	0	0	0	8	2	5
otu774	1	0	0	0	0	0	3	0
otu775	0	0	0	0	0	0	1	3
otu776	5	0	0	2	0	0	0	0
otu777	0	0	0	0	0	1	0	2
otu778	0	0	0	3	0	0	0	0
otu779	2	0	0	0	0	0	0	0
otu780	0	0	0	0	0	0	2	1
otu781	3	0	0	2	0	0	0	0
otu782	0	0	0	0	0	1	2	0
otu783	0	0	0	0	0	0	3	3
otu784	0	0	0	1	0	1	2	1
otu785	2	0	0	1	0	0	0	0
otu786	5	0	0	2	0	0	0	0
otu787	0	0	0	0	2	0	1	0
otu788	1	0	0	1	1	0	1	0
otu789	0	0	0	0	0	27	0	0
otu790	0	0	0	6	0	0	0	0
otu791	0	1	0	0	0	0	1	2
otu792	0	0	0	0	1	7	2	4
otu793	0	0	0	0	0	24	0	2
otu794	0	0	0	28	0	0	0	0
otu795	2	0	0	0	0	0	0	0
otu796	1	0	0	3	0	0	0	0
otu797	0	0	0	0	0	0	1	2
otu798	0	0	0	0	0	25	1	1
otu799	0	0	0	0	0	0	4	5
otu800	0	0	0	0	1	0	1	0
otu801	8	0	0	0	0	0	0	0
otu802	0	0	0	0	0	0	2	2
otu803	0	0	0	0	0	14	0	0
otu804	0	1	0	1	0	0	0	1
otu805	1	0	0	1	0	0	0	0
otu806	0	0	0	0	0	0	3	1
otu807	0	0	0	2	0	0	0	0
otu808	0	0	0	0	1	0	1	4
otu809	0	0	0	0	0	0	3	0
otu810	2	0	0	0	0	0	0	0
otu811	0	0	0	0	0	0	2	2
otu812	0	0	0	0	3	0	0	1
otu813	0	0	0	0	0	5	3	5
otu814	0	0	0	0	3	7	3	7
otu815	0	0	0	16	0	0	0	0
otu816	0	0	0	0	0	0	2	0
otu817	0	0	0	0	1	0	8	0
otu818	0	0	0	0	0	5	0	0
otu819	0	0	0	0	1	24	0	0
otu820	0	0	0	0	0	1	3	0
otu821	0	0	0	0	4	11	1	3
otu822	1	0	0	4	0	0	0	0
otu823	0	0	0	0	0	0	2	0
otu824	0	0	0	0	1	0	1	0
otu825	0	0	0	0	0	26	0	0
otu826	1	0	0	3	0	0	0	0
otu827	0	0	0	2	0	5	0	5
otu828	2	0	1	0	0	0	0	0
otu829	2	0	0	0	0	0	0	0
otu830	0	0	0	0	1	0	3	1
otu831	0	0	0	0	0	25	0	0
otu832	0	0	0	0	2	3	4	5
otu833	0	0	0	2	0	0	0	0
otu834	0	0	0	3	0	0	0	0
otu835	0	0	0	0	6	2	2	4
otu836	0	0	0	0	4	11	3	0
otu837	0	0	0	2	0	0	0	0
otu838	0	0	0	0	1	3	0	1
otu839	0	0	0	0	1	0	0	1
otu840	0	0	0	0	0	14	2	4
otu841	0	0	0	2	0	1	0	0
otu842	0	0	0	2	0	0	0	0
otu843	0	0	0	0	0	2	2	3
otu844	0	0	0	0	0	24	1	0
otu845	1	0	0	4	0	0	0	0
otu846	2	0	0	11	0	0	0	0
otu847	0	0	0	25	0	0	0	0
otu848	0	0	0	0	0	3	0	0
otu849	0	0	0	0	1	0	1	0
otu850	0	0	0	0	3	0	1	0
otu851	0	0	0	0	2	0	0	2
otu852	0	0	0	0	0	2	1	6
otu853	0	0	0	16	0	0	0	0
otu854	1	1	0	1	0	0	0	0
otu855	0	0	0	0	2	1	2	1
otu856	1	0	0	1	0	0	0	0
otu857	0	0	0	0	1	2	3	5
otu858	0	0	0	0	0	1	1	0
otu859	0	0	0	0	0	1	1	0
otu860	0	0	0	1	0	2	0	0
otu861	0	0	0	0	0	24	1	0
otu862	0	0	0	0	0	0	2	0
otu863	0	0	0	0	0	0	1	2
otu864	0	0	0	0	3	8	2	5
otu865	1	0	0	21	0	0	0	0
otu866	0	0	0	0	0	0	3	1
otu867	0	0	0	0	3	6	0	6
otu868	0	0	0	0	6	8	1	2
otu869	2	1	1	1	0	0	3	0
otu870	1	1	0	0	0	0	0	0
otu871	0	0	0	0	0	0	0	3
otu872	0	0	0	0	0	1	2	2
otu873	0	0	0	0	0	0	1	1
otu874	0	0	0	0	5	10	0	5
otu875	0	0	0	0	0	13	0	1
otu876	0	0	0	0	4	11	3	2
otu877	0	0	0	0	5	2	1	2
otu878	0	0	0	0	2	1	0	2
otu879	0	1	0	1	0	0	0	0
otu880	0	0	0	0	0	0	3	3
otu881	2	0	0	1	0	0	0	0
otu882	0	0	0	0	3	2	1	3
otu883	0	0	0	0	0	1	0	1
otu884	0	0	0	0	4	6	0	4
otu885	0	0	0	0	8	7	0	0
otu886	0	0	0	0	0	2	0	6
otu887	0	0	0	0	1	3	0	2
otu888	0	0	0	0	0	0	3	0
otu889	0	0	0	0	0	23	0	0
otu890	0	0	0	3	0	0	0	0
otu891	0	0	0	2	0	0	0	0
otu892	0	0	0	0	0	22	0	0
otu893	0	0	0	0	1	9	2	5
otu894	0	1	0	2	0	0	0	1
otu895	0	0	0	0	2	7	2	4
otu896	3	0	1	4	0	0	0	0
otu897	0	0	0	0	2	0	1	4
otu898	0	0	0	0	0	0	1	2
otu899	2	0	0	0	0	0	0	0
otu900	0	0	0	0	0	1	3	1
otu901	0	0	0	0	1	0	1	2
otu902	0	0	0	0	1	0	3	3
otu903	1	0	0	11	0	0	0	0
otu904	0	0	0	0	0	4	0	0
otu905	0	0	0	0	3	6	2	3
otu906	0	0	0	0	0	0	2	1
otu907	1	0	0	1	1	0	0	0
otu908	1	1	1	0	0	0	1	1
otu909	0	0	0	1	1	1	0	0
otu910	0	0	0	0	0	0	0	2
otu911	0	0	0	0	0	0	3	1
otu912	0	0	0	0	0	23	0	0
otu913	0	0	0	0	0	23	0	0
otu914	0	0	0	0	1	0	1	2
otu915	0	0	0	0	0	0	2	2
otu916	0	0	0	0	1	0	3	3
otu917	0	0	0	14	0	0	0	0
otu918	0	0	0	0	0	5	0	6
otu919	0	0	0	0	0	19	0	2
otu920	1	0	0	1	0	0	0	0
otu921	0	0	0	0	2	7	3	2
otu922	0	0	0	1	0	0	0	2
otu923	4	0	0	0	0	0	0	0
otu924	0	0	0	4	0	0	0	0
otu925	2	1	0	2	0	0	0	0
otu926	0	0	0	0	2	7	2	1
otu927	0	0	0	0	0	1	0	1
otu928	0	0	0	0	0	1	0	1
otu929	0	0	0	8	0	0	0	1
otu930	0	0	0	0	0	3	1	0
otu931	2	0	0	0	0	0	0	0
otu932	0	0	0	0	2	2	1	0
otu933	0	0	0	5	0	0	0	0
otu934	0	0	0	3	0	0	0	0
otu935	0	0	0	0	1	2	0	0
otu936	0	0	0	3	0	0	0	0
otu937	0	0	0	0	2	0	6	1
otu938	0	0	0	0	0	1	2	0
otu939	0	0	0	0	0	2	0	2
otu940	0	0	0	0	0	2	0	0
otu941	0	0	0	0	3	7	2	2
otu942	0	0	0	0	2	0	1	11
otu943	2	0	0	10	0	0	0	0
otu944	0	0	0	0	0	21	0	0
otu945	0	0	0	0	0	1	1	0
otu946	0	0	0	4	0	4	0	1
otu947	0	0	0	0	5	4	4	4
otu948	0	0	1	0	1	0	0	2
otu949	0	0	0	0	4	4	1	4
otu950	0	0	0	0	4	8	1	2
otu951	0	0	0	0	0	0	2	0
otu952	0	0	0	0	1	4	1	2
otu953	0	0	0	0	1	7	1	3
otu954	0	0	0	0	1	0	3	0
otu955	0	0	0	4	0	1	0	0
otu956	0	0	0	0	1	0	1	0
otu957	0	0	0	0	0	8	0	2
otu958	0	0	0	0	1	0	3	1
otu959	0	0	0	8	0	0	0	0
otu960	0	0	0	0	0	10	1	3
otu961	0	0	0	11	0	0	0	0
otu962	0	0	0	20	0	0	0	0
otu963	2	0	0	10	0	0	0	0
otu964	0	0	0	0	2	5	4	3
otu965	0	0	0	0	0	7	2	0
otu966	1	0	0	0	0	0	1	0
otu967	0	0	0	0	0	0	1	1
otu968	0	0	0	0	4	6	3	5
otu969	0	0	0	0	1	8	0	5
otu970	0	0	0	3	0	4	0	0
otu971	0	0	0	0	1	0	1	1
otu972	0	0	0	0	2	4	2	3
otu973	0	0	0	2	0	0	0	0
otu974	0	0	0	0	0	21	0	0
otu975	0	0	0	0	0	0	1	1
otu976	0	0	0	0	0	0	2	1
otu977	0	0	0	0	0	21	0	0
otu978	0	0	0	0	0	0	1	1
otu979	0	0	0	6	0	0	1	0
otu980	0	0	0	0	3	6	2	6
otu981	0	0	0	0	0	20	0	0
otu982	0	0	0	0	2	1	1	1
otu983	0	0	0	0	0	19	0	0
otu984	0	0	0	0	4	4	2	4
otu985	0	0	0	0	0	1	2	0
otu986	0	0	0	1	0	1	1	0
otu987	0	0	0	3	0	0	0	0
otu988	0	0	1	1	1	0	1	0
otu989	0	0	0	0	0	0	3	0
otu990	0	0	0	0	0	1	3	1
otu991	0	0	0	0	0	14	0	0
otu992	0	0	0	0	0	19	0	0
otu993	0	2	2	0	0	0	2	0
otu994	0	1	1	0	0	0	0	0
otu995	1	0	0	0	0	1	0	1
otu996	0	1	0	1	0	0	1	0
otu997	0	3	1	1	0	0	1	0
otu998	0	1	1	0	0	0	2	0
otu999	0	0	0	0	0	0	1	1
otu1000	2	0	0	0	0	0	0	0
otu1001	0	0	0	3	0	0	0	0
otu1002	0	0	0	0	0	4	2	3
otu1003	0	0	0	0	0	0	1	1
otu1004	0	0	0	0	20	0	0	0
otu1005	1	0	1	0	0	0	0	0
otu1006	0	0	0	0	2	4	3	2
otu1007	0	0	0	0	3	6	2	1
otu1008	0	0	0	0	0	9	0	0
otu1009	0	0	0	0	1	7	1	2
otu1010	0	0	0	0	1	0	0	4
otu1011	0	0	0	19	0	0	0	0
otu1012	0	0	0	0	0	11	1	1
otu1013	0	0	0	0	2	6	2	1
otu1014	0	0	0	0	0	15	0	0
otu1015	0	0	0	0	2	5	0	3
otu1016	1	0	0	1	0	0	0	0
otu1017	4	0	0	0	0	0	0	0
otu1018	0	0	1	0	1	1	1	0
otu1019	0	0	0	0	1	0	2	0
otu1020	0	0	0	0	0	1	0	1
otu1021	0	0	0	0	2	3	2	4
otu1022	0	0	0	0	1	7	0	3
otu1023	0	0	0	0	0	18	0	0
otu1024	0	0	0	2	0	0	0	0
otu1025	0	0	0	2	0	0	0	0
otu1026	0	2	0	2	0	0	0	0
otu1027	0	0	0	0	4	6	3	0
otu1028	0	0	0	0	0	8	0	0
otu1029	0	0	0	0	0	2	0	0
otu1030	0	0	0	0	2	0	1	0
otu1031	0	0	0	0	0	18	0	0
otu1032	0	0	0	0	0	0	3	1
otu1033	0	0	0	0	0	19	0	0
otu1034	0	0	0	0	2	7	1	2
otu1035	0	0	0	0	0	19	0	0
otu1036	0	0	0	0	0	19	0	0
otu1037	0	0	0	0	1	6	0	2
otu1038	0	0	0	0	0	17	0	0
otu1039	9	0	1	0	0	0	0	0
otu1040	0	0	0	0	2	10	0	3
otu1041	0	0	0	0	1	0	0	2
otu1042	0	0	0	0	0	18	0	0
otu1043	0	0	1	0	0	0	1	0
otu1044	0	0	0	0	0	12	0	2
otu1045	0	0	0	0	0	19	0	0
otu1046	0	0	0	0	0	1	2	0
otu1047	0	1	1	1	0	0	1	0
otu1048	0	0	0	0	0	9	0	0
otu1049	0	0	0	2	0	0	0	1
otu1050	0	0	0	0	0	6	1	5
otu1051	0	0	0	0	0	1	2	0
otu1052	0	0	0	0	0	2	1	2
otu1053	0	0	0	0	0	1	0	1
otu1054	0	0	0	9	0	0	0	0
otu1055	2	0	0	0	0	0	1	0
otu1056	0	0	0	0	0	7	0	3
otu1057	0	0	0	0	2	0	0	1
otu1058	0	0	0	6	0	0	0	0
otu1059	0	0	0	0	0	3	1	1
otu1060	0	0	0	0	0	1	1	0
otu1061	0	0	0	0	0	16	2	0
otu1062	0	0	0	2	0	1	0	1
otu1063	0	0	0	0	1	0	1	2
otu1064	0	0	0	0	0	2	0	0
otu1065	1	0	0	0	1	0	1	0
otu1066	2	0	0	0	0	0	0	0
otu1067	0	0	0	0	0	16	0	0
otu1068	0	0	0	0	0	18	0	0
otu1069	0	0	0	0	0	12	1	3
otu1070	0	0	0	0	0	18	0	0
otu1071	0	0	0	0	0	18	0	0
otu1072	0	0	0	0	0	0	1	2
otu1073	0	0	0	0	0	17	0	0
otu1074	1	0	1	1	0	0	0	1
otu1075	0	0	0	1	0	1	0	0
otu1076	0	0	0	0	0	17	0	0
otu1077	0	0	0	0	0	0	2	1
otu1078	0	0	0	0	0	9	0	3
otu1079	0	0	0	0	0	4	0	0
otu1080	0	0	0	0	0	3	2	0
otu1081	0	0	1	0	0	0	1	0
otu1082	0	0	0	0	0	18	0	0
otu1083	0	0	0	0	0	16	0	0
otu1084	0	0	0	0	0	1	0	2
otu1085	0	0	0	0	2	3	2	4
otu1086	0	0	0	0	0	17	0	0
otu1087	0	0	0	0	2	0	1	3
otu1088	3	0	0	0	0	0	0	0
otu1089	0	0	0	3	0	0	0	0
otu1090	2	0	0	1	0	0	0	0
otu1091	0	0	0	0	0	0	3	0
otu1092	0	0	0	3	0	0	0	0
otu1093	0	0	0	0	2	0	1	0
otu1094	0	0	0	17	0	0	0	0
otu1095	0	0	0	0	0	0	4	1
otu1096	0	0	0	4	0	0	0	0
otu1097	0	0	0	0	2	1	3	1
otu1098	0	0	0	0	0	3	0	0
otu1099	0	0	0	1	1	0	0	0
otu1100	0	0	0	3	0	0	0	0
otu1101	0	0	1	2	0	0	1	0
otu1102	0	0	0	0	2	4	1	1
otu1103	2	0	0	2	0	0	0	0
otu1104	0	0	0	0	0	16	0	0
otu1105	0	1	0	0	1	0	0	2
otu1106	2	1	3	0	0	0	0	0
otu1107	0	0	0	0	1	1	1	3
otu1108	0	0	0	0	1	0	0	1
otu1109	0	0	0	0	5	5	2	0
otu1110	0	0	0	9	0	0	0	0
otu1111	0	0	0	0	1	7	1	0
otu1112	0	5	5	1	0	0	0	0
otu1113	0	0	0	1	0	0	0	1
otu1114	0	0	0	16	0	0	0	0
otu1115	0	0	0	0	1	8	0	4
otu1116	0	0	0	0	2	8	1	1
otu1117	0	0	0	0	0	0	2	3
otu1118	0	0	0	0	0	0	1	2
otu1119	0	0	0	0	0	7	0	4
otu1120	0	0	0	0	0	9	0	0
otu1121	0	1	0	2	0	0	0	0
otu1122	0	0	0	1	0	0	1	0
otu1123	0	0	0	0	0	0	1	3
otu1124	0	0	0	0	0	13	0	2
otu1125	0	0	0	1	1	0	0	2
otu1126	0	0	0	0	0	0	0	2
otu1127	0	0	0	0	0	0	1	3
otu1128	0	0	0	1	0	4	0	0
otu1129	0	0	0	3	0	0	0	0
otu1130	0	0	0	0	0	2	1	0
otu1131	0	0	0	0	3	6	0	1
otu1132	0	0	0	3	0	0	0	0
otu1133	0	0	0	0	0	3	0	9
otu1134	0	0	0	0	1	6	1	1
otu1135	0	0	0	0	0	17	0	0
otu1136	0	0	0	2	0	0	1	0
otu1137	0	0	0	0	1	5	2	4
otu1138	0	0	0	0	0	16	0	0
otu1139	0	0	0	0	0	1	3	1
otu1140	0	0	0	2	0	0	0	0
otu1141	0	0	0	0	0	0	2	3
otu1142	0	1	1	2	0	0	0	1
otu1143	0	0	0	0	0	15	0	0
otu1144	0	0	0	0	4	2	2	3
otu1145	0	0	0	0	1	1	1	1
otu1146	0	0	0	0	1	8	1	3
otu1147	0	0	0	16	0	0	0	0
otu1148	0	0	0	0	0	1	1	0
otu1149	0	0	0	0	0	3	0	0
otu1150	0	15	0	0	0	0	0	0
otu1151	0	0	0	0	0	0	1	6
otu1152	0	0	2	1	0	0	2	0
otu1153	0	0	0	0	6	3	2	0
otu1154	0	0	0	0	0	11	0	0
otu1155	1	0	1	0	0	0	1	0
otu1156	0	0	0	0	0	16	0	0
otu1157	0	0	0	0	1	4	0	3
otu1158	0	0	0	0	0	2	0	1
otu1159	0	0	0	0	0	1	0	2
otu1160	0	0	0	0	0	0	2	2
otu1161	0	0	0	1	0	1	0	0
otu1162	0	0	0	0	0	16	0	0
otu1163	0	0	0	0	0	14	0	1
otu1164	0	0	0	1	0	1	0	1
otu1165	0	0	2	1	0	0	0	0
otu1166	0	0	0	0	2	5	1	3
otu1167	0	0	0	5	0	0	0	0
otu1168	0	0	1	1	0	0	0	0
otu1169	0	0	0	12	0	0	0	0
otu1170	1	1	0	0	0	0	0	0
otu1171	0	0	0	0	1	0	1	1
otu1172	0	0	0	0	0	15	0	1
otu1173	0	2	0	0	1	0	2	0
otu1174	0	0	0	0	2	3	3	3
otu1175	0	0	0	0	3	0	2	0
otu1176	0	0	0	0	0	16	0	0
otu1177	0	0	0	0	1	4	0	2
otu1178	0	0	0	0	1	0	0	1
otu1179	0	0	0	0	0	4	0	1
otu1180	0	0	0	0	0	16	0	0
otu1181	0	0	0	0	2	0	2	0
otu1182	0	0	0	0	0	14	0	1
otu1183	2	0	0	1	0	0	0	0
otu1184	0	0	0	0	0	15	0	0
otu1185	0	0	0	6	0	0	0	0
otu1186	0	0	0	0	0	2	0	0
otu1187	1	1	0	1	0	0	0	0
otu1188	0	0	0	13	0	0	0	0
otu1189	0	0	0	0	0	4	0	5
otu1190	0	0	0	0	1	4	2	2
otu1191	2	0	0	0	0	0	0	0
otu1192	0	0	0	2	0	0	0	0
otu1193	1	0	2	1	0	0	0	0
otu1194	2	0	0	0	0	0	0	0
otu1195	0	0	0	0	3	0	3	0
otu1196	0	0	0	0	1	0	2	0
otu1197	0	0	0	0	0	0	0	3
otu1198	0	0	0	5	0	0	0	0
otu1199	0	0	0	2	0	0	0	0
otu1200	0	0	0	0	0	5	1	7
otu1201	3	0	0	2	0	0	0	0
otu1202	0	0	0	0	1	0	0	1
otu1203	0	0	0	0	1	0	2	1
otu1204	0	0	0	0	1	0	1	1
otu1205	0	1	0	1	1	0	1	0
otu1206	2	0	0	1	0	0	0	0
otu1207	0	0	0	1	0	1	0	0
otu1208	1	1	0	0	2	0	0	0
otu1209	0	0	0	0	0	3	0	0
otu1210	0	0	0	0	0	0	2	3
otu1211	2	0	0	4	0	0	0	0
otu1212	0	0	0	0	0	2	0	2
otu1213	0	0	0	0	3	8	0	1
otu1214	0	0	0	0	2	6	0	4
otu1215	2	0	0	0	0	0	0	0
otu1216	0	0	0	0	1	0	2	0
otu1217	0	0	0	0	0	5	0	1
otu1218	1	0	0	1	0	0	0	0
otu1219	0	0	0	1	0	2	1	5
otu1220	0	1	0	2	1	0	1	0
otu1221	0	0	0	0	0	0	1	1
otu1222	0	0	0	0	0	14	1	0
otu1223	4	0	0	0	0	0	0	0
otu1224	0	0	0	0	0	0	0	2
otu1225	0	0	0	0	0	15	0	0
otu1226	1	0	1	0	0	0	1	0
otu1227	0	0	0	3	1	2	1	0
otu1228	0	0	0	0	1	4	0	3
otu1229	0	0	0	0	1	1	0	3
otu1230	0	0	0	0	1	6	1	1
otu1231	0	0	0	0	0	0	1	1
otu1232	0	0	0	0	0	14	0	0
otu1233	0	0	0	1	0	2	0	0
otu1234	0	0	0	0	0	0	2	0
otu1235	0	0	0	0	1	0	1	0
otu1236	0	0	0	0	2	5	2	1
otu1237	0	0	0	0	0	15	0	0
otu1238	0	0	0	0	4	5	3	0
otu1239	0	0	0	0	3	4	2	1
otu1240	0	1	0	10	0	0	0	0
otu1241	0	0	0	0	0	0	1	2
otu1242	0	0	0	3	0	0	0	0
otu1243	0	0	0	0	0	0	2	0
otu1244	0	0	0	0	2	4	4	2
otu1245	0	0	0	0	3	0	1	1
otu1246	0	0	0	0	0	13	0	0
otu1247	0	0	0	0	0	12	0	2
otu1248	0	0	0	0	0	5	0	0
otu1249	0	0	0	2	0	0	0	0
otu1250	0	0	0	0	1	1	0	0
otu1251	0	0	0	3	0	0	0	0
otu1252	0	0	0	0	0	8	0	5
otu1253	0	0	0	0	1	2	0	1
otu1254	0	0	0	0	3	5	0	0
otu1255	0	0	0	0	0	12	1	0
otu1256	0	0	0	0	0	2	2	4
otu1257	0	0	0	3	0	1	0	0
otu1258	0	0	0	0	2	5	4	1
otu1259	0	0	0	0	1	1	0	3
otu1260	0	0	0	0	0	14	0	0
otu1261	0	0	0	0	2	5	0	3
otu1262	0	0	0	0	0	5	0	0
otu1263	0	1	2	0	0	1	0	0
otu1264	0	0	0	0	0	0	3	0
otu1265	0	0	0	1	0	0	1	0
otu1266	0	0	0	0	0	14	0	0
otu1267	0	0	0	0	0	5	0	6
otu1268	0	0	0	0	0	14	0	0
otu1269	0	1	0	0	0	0	2	0
otu1270	0	1	0	2	1	0	0	0
otu1271	0	0	0	14	0	0	0	0
otu1272	0	0	0	1	0	1	0	0
otu1273	0	0	0	0	4	6	0	0
otu1274	0	0	0	13	1	0	0	0
otu1275	0	0	0	2	0	0	0	0
otu1276	0	0	0	0	1	5	0	3
otu1277	0	0	0	2	0	0	0	0
otu1278	1	0	0	2	0	0	0	0
otu1279	0	0	0	0	0	0	2	0
otu1280	0	0	0	0	0	12	1	0
otu1281	2	0	0	0	0	0	0	0
otu1282	0	0	0	0	0	14	0	0
otu1283	0	0	0	0	1	13	0	0
otu1284	0	0	0	1	0	0	0	1
otu1285	0	0	0	1	0	0	1	8
otu1286	1	1	0	0	0	0	0	0
otu1287	0	0	0	0	1	1	0	1
otu1288	1	1	0	0	1	0	0	0
otu1289	0	0	0	0	1	5	1	2
otu1290	0	0	0	0	2	1	1	2
otu1291	0	0	0	4	0	0	0	0
otu1292	0	0	0	0	1	0	3	0
otu1293	0	0	0	0	1	5	1	3
otu1294	0	0	0	0	1	0	1	0
otu1295	0	0	0	0	0	11	0	0
otu1296	0	0	0	3	0	0	0	0
otu1297	0	0	0	0	0	7	0	1
otu1298	0	0	0	0	3	5	1	0
otu1299	1	0	0	1	0	0	0	0
otu1300	0	0	0	0	0	5	0	1
otu1301	0	0	0	0	0	12	0	0
otu1302	0	2	2	0	0	0	0	0
otu1303	0	0	0	0	1	0	5	1
otu1304	0	0	0	0	0	13	0	1
otu1305	0	0	0	0	2	7	2	0
otu1306	0	0	0	2	0	0	0	0
otu1307	0	2	0	2	0	0	0	2
otu1308	2	0	0	0	0	0	0	0
otu1309	0	0	0	0	0	12	0	1
otu1310	0	0	0	0	0	13	0	0
otu1311	0	0	0	13	0	0	0	0
otu1312	0	0	0	0	0	13	0	0
otu1313	0	0	0	0	0	0	0	2
otu1314	0	0	0	0	0	0	1	1
otu1315	0	0	0	13	0	0	0	0
otu1316	1	0	0	0	0	0	1	0
otu1317	0	0	0	1	0	2	0	1
otu1318	1	1	0	0	0	0	0	0
otu1319	0	0	0	2	0	0	0	0
otu1320	0	0	0	0	0	13	0	0
otu1321	0	0	0	0	0	12	0	0
otu1322	0	0	0	2	0	0	1	0
otu1323	0	0	0	0	0	2	1	9
otu1324	0	1	0	1	0	0	0	0
otu1325	0	0	0	0	1	1	0	0
otu1326	0	0	0	0	1	0	1	4
otu1327	0	2	0	2	0	0	0	0
otu1328	0	0	0	0	0	1	1	3
otu1329	3	0	0	0	0	0	0	0
otu1330	2	0	0	0	0	0	0	0
otu1331	0	0	0	0	0	0	0	2
otu1332	0	0	0	0	0	2	0	0
otu1333	0	0	0	0	0	0	2	0
otu1334	0	0	0	1	0	7	0	0
otu1335	0	0	0	0	0	13	0	0
otu1336	0	0	0	2	0	0	0	0
otu1337	0	0	0	0	0	9	0	1
otu1338	0	0	0	0	1	6	0	0
otu1339	0	0	0	2	0	0	0	0
otu1340	0	0	0	0	1	6	2	0
otu1341	0	1	0	1	0	0	0	0
otu1342	0	0	0	0	0	4	1	1
otu1343	0	0	0	0	0	0	1	1
otu1344	0	0	0	0	1	0	3	0
otu1345	0	0	0	0	2	4	0	1
otu1346	0	0	0	0	0	13	0	0
otu1347	0	0	0	0	0	0	2	0
otu1348	2	0	0	0	0	0	0	0
otu1349	0	0	0	0	0	12	1	0
otu1350	0	0	0	0	3	3	1	1
otu1351	0	0	0	12	0	0	0	0
