OTU_ID	inoculum1.control.before	inoculum1.control.after	inoculum1.treatment.before	inoculum1.treatment.after	inoculum2.control.before	inoculum2.control.after	inoculum2.treatment.before	inoculum2.treatment.after
otu154	33	6	1	45	0	0	0	0
otu155	0	0	0	0	8	3	16	8
otu156	0	0	0	0	18	24	48	42
otu157	0	0	0	0	4	5	27	11
otu158	0	0	0	0	37	9	32	17
otu159	0	0	0	0	9	4	13	3
otu160	5	1	0	0	9	1	21	11
otu161	4	0	0	6	0	0	0	0
otu162	9	0	0	2	0	0	0	0
otu163	44	8	4	24	0	0	0	0
otu164	1	0	0	1	0	0	0	0
otu165	0	0	0	0	3	6	12	32
otu166	1	0	0	1	0	0	0	0
otu167	2	3	4	7	1	0	11	10
otu168	4	0	1	0	6	1	23	4
otu169	6	2	0	2	0	0	0	0
otu170	0	0	0	0	15	4	37	22
otu171	0	1	0	80	0	0	0	0
otu172	0	0	0	2	0	0	0	0
otu173	0	0	0	0	15	18	28	22
otu174	0	0	0	0	1	2	13	4
otu175	0	0	0	0	5	170	16	19
otu176	0	0	0	0	2	34	5	18
otu177	0	0	0	0	19	6	23	14
otu178	9	1	0	4	0	0	0	0
otu179	0	1	1	2	3	7	7	13
otu180	0	0	0	0	9	113	44	37
otu181	15	4	3	12	0	0	0	0
otu182	0	0	0	0	17	6	42	9
otu183	0	0	0	0	16	14	20	30
otu184	0	0	0	0	2	0	10	4
otu185	1	1	0	87	0	0	0	0
otu186	2	1	0	0	0	0	0	0
otu187	0	0	0	0	15	4	32	4
otu188	4	0	0	2	0	0	0	0
otu189	37	2	1	10	0	0	0	0
otu190	0	0	0	0	1	4	15	9
otu191	2	1	1	4	0	0	0	0
otu192	0	0	0	0	12	8	23	16
otu193	19	28	13	25	2	0	0	0
otu194	0	0	0	0	0	79	3	214
otu195	0	0	0	2	5	0	10	2
otu196	0	0	0	0	10	5	19	13
otu197	0	0	0	0	5	3	8	6
otu198	6	0	0	5	0	0	0	0
otu199	0	0	0	0	14	4	17	7
otu200	2	0	1	5	0	0	0	0
otu201	0	2	0	12	0	1	13	3
otu202	0	0	0	45	0	3	0	1
otu203	0	0	0	0	4	12	7	144
otu204	5	1	0	1	3	1	5	3
otu205	1	0	0	0	0	0	1	1
otu206	3	0	0	0	3	0	6	0
otu207	1	0	0	0	52	10	43	9
otu208	12	1	3	9	0	0	0	0
otu209	26	0	1	1	10	1	19	2
otu210	0	0	0	0	0	3	6	20
otu211	0	0	0	0	5	5	7	6
otu212	0	0	0	0	1	2	1	3
otu213	0	0	0	0	0	0	15	12
otu214	0	0	0	0	12	7	17	10
otu215	0	0	0	0	2	2	11	8
otu216	0	0	0	0	10	3	21	3
otu217	0	0	0	0	0	0	13	1
otu218	1	0	2	0	0	0	0	0
otu219	0	0	0	0	10	2	34	7
otu220	4	1	1	1	9	1	10	2
otu221	20	2	0	0	0	0	0	0
otu222	1	1	0	1	0	0	1	2
otu223	0	1	0	5	0	162	1	15
otu224	0	0	0	0	13	14	31	35
otu225	0	0	0	11	0	0	0	0
otu226	1	0	0	0	0	0	1	0
otu227	16	4	1	2	0	0	0	0
otu228	0	0	0	0	3	2	2	8
otu229	0	0	0	0	8	4	9	18
otu230	2	0	0	1	0	0	0	0
otu231	3	0	0	0	0	0	0	0
otu232	0	0	0	0	4	0	7	3
otu233	0	0	0	0	1	0	8	5
otu234	0	0	0	4	0	0	0	0
otu235	0	0	0	0	1	0	9	3
otu236	4	1	0	0	0	0	0	0
otu237	0	4	6	7	0	0	5	1
otu238	0	0	0	0	6	12	15	8
otu239	4	0	0	0	0	0	0	0
otu240	0	0	0	0	0	3	12	4
otu241	1	1	0	0	0	0	0	0
otu242	2	0	0	0	0	0	0	0
otu243	3	0	3	8	1	1	4	0
otu244	5	0	0	21	0	0	0	0
otu245	0	0	0	0	2	7	12	11
otu246	0	0	0	0	12	0	11	4
otu247	0	0	0	0	1	5	13	6
otu248	0	0	0	0	5	4	9	9
otu249	5	0	0	3	0	0	0	0
otu250	12	5	1	21	0	0	0	0
otu251	0	0	0	0	1	0	10	4
otu252	0	0	0	0	3	1	8	8
otu253	1	0	0	0	0	1	3	2
otu254	9	5	1	5	8	0	5	0
otu255	0	0	0	0	13	20	12	20
otu256	1	2	0	11	0	0	1	3
otu257	0	6	0	9	0	0	4	0
otu258	0	0	0	0	6	3	8	7
otu259	0	0	0	0	15	74	21	24
otu260	2	0	0	2	0	0	0	0
otu261	1	0	1	0	0	0	0	0
otu262	4	0	0	0	0	0	0	0
otu263	0	0	0	0	5	9	20	32
otu264	2	0	0	3	0	0	0	0
otu265	1	0	1	2	3	1	8	0
otu266	0	0	0	0	5	1	5	4
otu267	0	0	0	0	8	6	12	24
otu268	1	0	0	0	4	0	12	1
otu269	2	0	0	0	0	0	0	0
otu270	0	0	0	0	0	0	6	6
otu271	1	0	1	0	0	0	0	0
otu272	0	0	0	0	6	4	10	2
otu273	11	0	1	9	0	0	0	0
otu274	2	0	0	0	0	0	0	0
otu275	0	0	0	0	2	24	10	44
otu276	3	0	0	0	0	0	0	0
otu277	0	0	0	1	0	0	0	1
otu278	0	0	0	0	0	1	14	1
otu279	0	0	0	0	0	1	2	3
otu280	1	0	0	13	0	12	0	1
otu281	3	0	0	20	0	0	0	0
otu282	0	0	0	0	10	0	18	2
otu283	11	1	0	4	0	0	0	0
otu284	0	0	1	1	4	1	15	4
otu285	0	0	0	0	5	1	7	1
otu286	0	0	0	0	2	0	5	5
otu287	0	0	0	0	1	1	8	1
otu288	0	0	0	0	14	4	10	30
otu289	0	0	0	0	1	159	1	0
otu290	0	0	0	0	9	6	1	1
otu291	0	0	0	2	0	0	0	0
otu292	0	0	0	0	1	2	2	7
otu293	0	0	0	155	0	0	0	0
otu294	0	0	0	0	20	5	6	9
otu295	0	0	0	0	11	2	7	5
otu296	0	0	0	0	18	2	16	4
otu297	0	0	0	2	0	3	0	1
otu298	0	0	0	0	5	1	4	0
otu299	0	0	0	7	0	20	0	0
otu300	0	0	0	0	1	0	6	7
otu301	0	1	2	0	0	0	0	0
otu302	0	0	0	4	0	0	0	0
otu303	0	0	0	0	3	1	12	4
otu304	3	1	0	10	0	0	2	0
otu305	0	0	0	19	0	2	0	0
otu306	0	0	0	0	0	140	0	0
otu307	0	0	0	11	0	1	0	0
otu308	0	0	0	0	0	2	11	3
otu309	0	0	0	0	4	0	3	7
otu310	0	0	0	1	1	62	3	15
otu311	0	2	0	2	0	0	0	0
otu312	0	0	0	0	2	21	8	46
otu313	0	0	0	0	4	1	15	4
otu314	0	0	0	0	3	2	9	6
otu315	0	0	0	0	4	0	6	3
otu316	9	2	0	31	0	0	0	0
otu317	1	1	1	5	0	0	0	0
otu318	0	0	0	0	0	137	0	0
otu319	0	0	0	0	7	3	15	16
otu320	2	0	0	2	4	2	17	4
otu321	1	0	0	3	0	0	0	0
otu322	0	0	0	0	3	2	14	11
otu323	9	54	2	9	0	0	0	0
otu324	5	54	0	12	0	0	0	0
otu325	2	0	0	1	0	0	0	0
otu326	0	0	0	76	0	0	0	0
otu327	3	0	0	1	0	0	0	0
otu328	0	0	0	0	0	2	7	7
otu329	0	0	0	0	4	1	5	0
otu330	0	0	0	1	0	4	0	2
otu331	0	0	2	0	0	0	0	0
otu332	1	0	1	0	1	0	1	0
otu333	0	0	0	61	0	0	0	0
otu334	1	0	0	108	0	0	0	0
otu335	0	0	0	0	1	19	0	0
otu336	4	1	0	13	0	0	0	0
otu337	2	0	0	0	0	0	0	0
otu338	0	0	0	0	4	0	5	2
otu339	24	0	1	5	0	0	0	0
otu340	0	0	0	2	0	0	0	0
otu341	0	0	0	0	2	2	5	6
otu342	2	0	0	0	0	4	0	9
otu343	5	2	0	23	0	0	0	0
otu344	2	1	0	0	0	0	0	0
otu345	0	0	0	0	3	3	15	8
otu346	0	0	0	0	3	7	3	16
otu347	17	2	0	36	0	0	0	0
otu348	0	0	0	0	6	1	11	3
otu349	2	0	0	0	0	0	0	0
otu350	0	0	0	0	5	5	12	6
otu351	0	0	0	0	3	4	16	13
otu352	0	0	0	0	10	3	16	2
otu353	1	0	0	0	0	2	1	1
otu354	0	0	0	0	1	1	5	4
otu355	1	0	0	3	0	0	1	0
otu356	0	0	0	18	0	0	0	0
otu357	0	0	0	0	6	3	7	2
otu358	0	0	0	0	0	1	7	4
otu359	0	0	0	0	0	0	4	1
otu360	3	1	0	7	0	0	0	0
otu361	0	0	0	0	0	2	3	0
